sentiment,text
positive,Makes the dash lights of a bike actually visible in overhead sun
negative,"item was not smoked. it was lightly tinted, not dark at all."
positive,I bought this twice as gifts.  The recipients LOVE it.
positive,"Great price, easy to use and very accurate"
positive,Good product.
negative,I really liked them at first. Had lots of storage pockets.v the top strap kept coming loose. Second time I tightened it the strap ripped. Two days later the whole top ripped. It's no longer useable
positive,Great Product
positive,I used this yesterday. It is great for cars interior.
positive,Handy hook to hang my pocketbook on backseat.
positive,"Love these, they match my interior perfectly"
positive,Adapters arrived quickly and fit the application.
positive,"I use this everywhere. Really. Rugs, cars, pretreat oil stains in my husbands work clothes, you name it I've probably tried it. While it's not a miracle worker, it did help me get super grease out of my flocked fabric seats in the car. My husband borrowed my car and had to replace a hydraulic cylinder on a peice of equipment. He had super grease all over him and tracked it into my light tan interior :-/ Oops. I used everything under the sun to get it out including having it professionally detailed, I wasn't happy with the results. It was clearly still there. While this stuff isn't magic, after applying it, you wouldn't notice the stain unless I pointed it out. I am happy."
positive,It works just fine.  Price is right.
positive,Perfect fit.
positive,"Very funny, easy to put on and good price. Thanks!"
positive,The female electrical socket was not a perfect match for my 2007 suburban. The male connector still pushed in and worked but doesnt lock. Its just tight. I check it from time to time and its still in. Of course a trouble code would come on if it wiggled out from off roading.
positive,dislike did not fit
positive,Now I have a place to hold my purse and water bottle.
positive,"so far they work well. seemed a bit big for the tires, but they are working and holding air."
positive,Good size
negative,I plugged this into my SUV trunk charger and it flickered and did not work. I would not recommend this product.
positive,Perfect fit. It looks like the original. Good quality it seems to have.
positive,"Haven't used,  quality seems good,  still would recommend"
positive,This product does not only smell nice! It can actually clean my car but does not scratch off the paint at all.
positive,Excellent
positive,"Perfect trash cans. 5 gallon and 1 gallon. Light and tough. Not for liquids, metals, anything sharp will cut thought."
negative,"-Bought two,<br />-First one fell apart at its seams like a triggered social media politicker (the first laundry wash on gentle cycle),<br />-The spousal unit is a level 9 seamstress. I put the first mitt on a repair order with her,<br />-While I waited for that, I decided to order a second mitt. I planned to use the first (after repairs) for wheels only,<br />-Second one has held up fine so far after 7-8 washes,<br />-First one, after repairs, has held up fine since after about 6-7 washes,<br />-Much excite,<br />-No amaze."
positive,"Its great stuff. Adds lubrication to cylinder walls, plus upped my mileage.."
negative,Decent enough but doesn’t breathe at all. Even with the liner removed it gets really hot and uncomfortable even with the vents open. Hopefully the armor will protect me and make all the Sweating worthwhile.
negative,"Like most, I purchase this for the center bottom piece.  This would been a slam dunk 5 stars if the two side pieces includes the opening for the arrow to light up.  Sadly it does not.  It does have the marking for it."
positive,Smaller than I thought.
positive,2007 ram 1500 5.7L
positive,China made.  Not all connections to the vehicle were precise.  Minor fixes made it well worth the money.  Prices locally were twice as much for high grade salvaged parts
positive,Great led lights for what your paying for. Even with colored fog lights still bright enough on the road. So far no issues and cheap compared to parts stores.
positive,Works great!
positive,So far so good. I mounted this on my 91 Nissan Pathfinder with a VG30 V6 that a did a manual 5 speed swap on. No issues so far. Drives nice. No clutch chatter or slipping. The only thing I can complain about is the extremely tight fitment of the pilot tool in the pilot bushing. However it did work and all is good.
positive,Bought it for my youngest daughter’s car. It looked great. Thanks
positive,Exact fit and replacemnt
positive,nice addition to my 2010 FJ. :)
positive,"I've only had the chance to use the ice scraper once since I bought it.  My old scraper was chewed up, had chunks missing, and didn't do a good job.  This one scraped the frost off great.<br />I wish the handle was a little longer - I can't reach the center of my windshield without stretching.  The description is up front about this, so not holding against the product."
positive,I like that it waterproof and has the lithium battery recharging feature.
positive,Installed easy and fit perfectly
negative,It really didn’t do much
negative,"I just received, and will comment later on overall quality and method of functioning. I first noticed the alarm is very loud and sounds adjust accordingly. Problem is it is near impossible to unscrew the back of alarm to replace batteries. It comes with a mini screwdriver that does not work, and strips the screw head."
positive,Used for a upgraded alarm battery replacement.
negative,This battery lasted less than two months. Our fancy battery charger says it is a bad battery. Unfortunately the return window has closed
positive,Great motorcycle gloves
positive,Great quality
positive,I actually got this for my luggage. It is made to apply on glass or smooth surface..<br />I had to really take my time and rub this sticker into the molded irregular surface as it comes off the film. Took 15 minutes. It has held up to 5 baggage service/airports and it is holding up well.  Like the look and differentiates  it on the baggage carousel
positive,Works as intended no issues over the years. Cheaper than the other name brand competitors
positive,Very happy with my purchase. Will buy again.
positive,Pretty small but works good for holding my car registration. Keeps my glovebox looking organized
negative,"One of the Kensun 6000K HID bulbs turned itself off after about 20-30 seconds.  The other bulb stayed on, but its light was slightly blue, not diamond white, as if it's never quite warmed up.<br /><br />Unfortunately I didn't install these bulbs until over a month after I bought them, so I didn't bother to ask the vendor Kensun for a refund.  It was cheap anyway.  So I decided to cut my loss and bought a set of 6000K HID from another brand and vendor.  Installed them a week ago.  They were true diamond white and worked well."
negative,"Worked great for about a year, then my S5 Active with a case, started falling out even with the rubber strap around the bottom. The rubber strap wasn't big enough to go around the top too. End result, phone fell out while leaving the Orlando Airport, phone survived the impact...until it was run over by about 30 cars and several busses. I ride a Kawasaki Voyager 1700, so vibration was not an issue. I would not recommend this mount."
positive,good
negative,hard to install not the color I needed returned
positive,"I forgot to review this steering wheel cover when I first got it. But just the other day I happened to reach for my steering wheel and was still so nicely surprised with how good this cover feels, that here I am 3 years later writing a review.<br /><br />I bought this cover when my car was just months old to me. I liked my new car, but the steering wheel was really lacking and honestly didn't make me feel like I had control over my car at all times, so I just didn't feel safe. I have a small SUV and the steering wheel just made my car feel even smaller.  I didn't know what to expect when I purchased this steering cover, but almost as soon as I put the cover on, it transformed my entire driving experience in this car. I like driving my car and this cover is a large part of making driving enjoyable for me. I don't have really large hands, but before the steering wheel felt small. Now I have something to hold onto when I'm making turns or maneuvering my car and I feel tons safer.<br /><br />This picture was taken 2 days ago, three years after buying and installing it. It's still vibrant, shows no signs of cracking or wear, and although it was a pretty tight fit when I originally put it on, I'm glad that it was, because it means that there's not movement when I drive.<br /><br />I feel like my review is all over the place with effusiveness, but in short, it's great, especially for the price, and I'd buy it again today (if I needed one)."
negative,"Worthless, there are inserts that slide into the helmet , they fell out the first week while riding on the freeway, now it is useless.  Waste off money"
negative,This item was cut just a wee bit too wide.  As a result it wants to curl rather than lay flat.
positive,"Great stuff.  Only product I use on my motorcycle chains.  Stops new dirt, prevents rust, super easy to apply."
positive,30 for 16$?  That’s awesome!!!!! Good price! The size is just right for everyday use!!! Love the quality 🤩
positive,Just got them put them on. They fix nice and seem like good quality for the price.<br />Like em.
positive,great test very close reading compare to HONDA ED-18
positive,Seems to be working perfectly with my Toyota corolla 2003.  I've had no issues with it so far.
negative,"Well worth the money to protect your new vehicle.  Not your average floor mats, I noticed the drivers side floor mat buckled every time the door closes maybe a simple fix."
negative,It didn’t fit!
positive,Great product
positive,Great value for the money
positive,Awesome! Exactly what I needed to replace the stock starter on my 10+ years old Craftsman lawn tractor..........at a fantastic price!
positive,Great
positive,EXCELLENT
positive,"Not many times when ordering a part for older vehicles can you count on getting what you wanted. This aftermarket part is quality, better than the original."
positive,"I was searching  for an easy clean way to add a charging port to a 2017 CRF250 Motorbike, when I came across this product on Amazon. Not only was it an easy install. You will need to run the initial battery tender lead from the battery. Very good quality, love that it has a voltmeter. That was an added bonus I hadn’t been considering, but now don’t think I would be happy without."
positive,ok
positive,Purchasing a genuine Volvo replacement lens for a cracked lens on a 1998 Volvo is a very expensive proposition. This very inexpensive alternative fits perfectly and works perfectly.
positive,"Perfect size, and true.  Took 2 days to receive"
positive,Perfect fit
positive,Just a little too dark for my plates.
positive,"This is perfect fit for the back seat of our Nissan Titan. We didn't want to place bags of ice just on the floor of our new truck. Store to home, it's not a ice chest. Holds bags of ice and doesn't leak. We carry our grocery bags also so they don't slide everywhere. We can also use it with a bag placed inside, as a large waste basket for when we travel."
positive,Not sure how excited you can get over a trash bin; but suffice it to say: it is way more attractive that its competition & works as advertised.
positive,Perfect for what I needed
positive,"Reuse the original clips because the new ones are thin and will twist.  Futment isn't perfect but unnoticeable once installed.  Been a few cold weeks and no condensation inside, but no rain yet either though.  Time will test it.<br /><br />These lights switch the signal and reverse bulbs so the wiring will be tight, but it will still reach.  The lense cover is light (red version) so you can see straight into the bulbs and even the reflectors.  The bad:  looks cheap.  The good:  bright and noticeable when the bulbs are on."
positive,My dad actually smiled when he got this as  a gift.  Usually he growls.  He immediately attached it to his license plate.
positive,Looks good :-)
positive,Bought this for our son who rides & he was really happy with it.
positive,"Just received, have had one morning when was frosty, but mirrors were clean and dry. Easy to put on and take off and store, very happy with purchase."
positive,It works
positive,"The cord replaced the original cord that came on our 1998 Ford diesel truck. Working in the northern states in winter, it enabled my husband to warm up the engine on those really cold mornings. Have no idea why the first owner of the truck would have cut the cord off necessitating us to buying a new one, but that is why we ordered the replacement cord. Very reasonable price and prompt shipment."
positive,Matched existing...
positive,Fit perfectly
positive,"I echo all of the comments from the positive reviews.  One thing to reiterate is that without the lifts, the trunk is REALLY HEAVY.  Their web site recommends using a ladder as a support and it's great advice.  Even with one lift on, it's still much heavier than you are expecting.  Great overall instructions on their site too.  The lifts fit my 2000 Lexus RX300 perfectly and I can't believe how easily the trunk goes up now.  Highly recommended and one of my top 10 purchasing and product experiences on Amazon."
positive,"Excellent. Must have for your garage or any DIY projects to keep track of loose screws, nuts, bolts, washers, etc."
negative,"Not the best quality for the price ,don't be cheap like me buy best ine arp $69.00 its way better than this cheap quality tool"
positive,THIS IS AMAZING PRODUCT AND OVERALL EASY TO USE
positive,My husband has stopped losing his wallet and phone in my Toyota.  Has saved me hours of weekly drama!
positive,absolutely best OEM plugs. Highly recommend.
positive,You can hardly tell where the scratch was.
positive,Fits great and very soft. I love it!
positive,The key fob that came with my 2017.5 Nissan Murano was impossible to see what the buttons were. I would press the lock for unlock all the time.  With this cover it makes it so easy to see. On a side note with it being such a bright color make it easy to find my keys in my huge purse.
positive,"This is a beautiful sticker. In fact, this is the second time I've purchased it and I bought enough to give to friends that admired mine.<br /><br />Excellent quality, you will be happy with it."
positive,"I transport travel trailers.  This is a must-have item for anyone who tows regularly.  Coupling security becomes one less item you will need to worry about.  Heavy-duty construction, durable finish, easy to use.  Highly recommended."
positive,fit liked a glove
positive,I used this kit to mount a Smittybilt Overlander tent I bought used.  It worked perfectly for that.  I think the hardware for the ladder will swap over too!
positive,Very nice selection and will definitely save me money over time. Especially when you consider most cars require you to disassemble these when you do an oil change and they don’t always survive the experience. I also use them in some outdoor projects I build.
positive,Good quality material.  Fun bling!
positive,Worked great so far 250 miles no noises! Stops great! Came with everything you need to get the job done! Will buy again!
positive,As expected
negative,I thought the bristles were going to be softer on this brush. I scratched up my 2014 Corolla S rims pretty badly. I'll find other uses for it. I'd recommend you get a microfiber brush instead.
positive,"Great, buy it."
positive,Perfect replacement and easy to install.
negative,"Too much plastic on these bars and this makes them look like a cheap set. For the money they want for them I really dont see the quality to match it. Im so glad I found a set at my local parts store to look at first before wasting my own money sending them back, as I surely would have sent them back.  The plastic end caps are cheap looking imo & it makes them look low quality. Anyone who thinks they want these I strongly suggest you first try looking at them in person if you are able to as there are much better bars for this price or even cheaper, just look around."
negative,What a POS. It lasted a week before they literally one fell off in the garage and I heard something walked around and the garage then saw it on the emblem on floor. Brutal!!! So the inside it not solid so only contact (with the cheapest double sided tape) is on the edges as the pictures I took show. Don’t even waste ur time to stick it on the wall in a gas station bathroom.
positive,The product was exactly what is described and what is shown. Seller understands these times are hard to deliver because of COIVD-19. It was expected that it would take 3-4 weeks to arrive like my other orders but it came 3 weeks early. Great product and seller.
negative,Great quality but housings need to be deeper to accommodate LED's and HID's
positive,works great running 1/4 acre pond solar aerator
positive,Nice setup! Used with BX adapters for my D ring bumper. Perfect!
positive,"cute, but I only got 2 balls, and its wayyyyyyy shorter.  Cute but looks cheap and unfinished"
positive,Good so far!
negative,This pump SUCKS! I used it once it worked. I used it a second time & it turns on but won't pump any air into my bike tires. Heaven forbid I had a flat tire on the highway & needed to rely on this piece of garbage.<br /><br />I paid $31 for this & my old one from Walmart (that was $15) at least worked a few months.<br /><br />Never buying anything B&D again.
negative,Don't waste your money. Did absolutely nothing for the slightest dent.
positive,Fast getting here and awesome product! The actual key ring is a little awkward on the bmw key but other then that no complaints!
positive,"Easy to install, helps to have two peopleThey look great on the truck. They have been on for several months very sturdy and they do not get slippery when it rains."
positive,Hard to figure out!
positive,Arrived very quickly and is a very good product.
positive,"This's the rainy season so, it's on all my window sills"
positive,Inlet plug is easy to install with the help of a hole saw.<br /><br />It has good terminals and a nice rubber boot to cover them on the inside.<br /><br />The rubber cover seals tight and should remain pliable for years.<br /><br />Comes with black screws to secure it to your project.<br /><br />Worth every penny.
positive,"This is works great at supporting the motor while traveling.  I like it better than a transom saver, which seems to be hard on the finish on my lower unit.  It is easy to install and store.  The cost is reasonable."
negative,"They Rust all to Hell!<br />  These are made by Changzhou Wujin Hutang Hongsheng Machine Fittings Factory in China (aka: Hong Sheng Machine Fittings). Thats why they are rusted junk in only a few months. Shame on Gorilla Automotive for this. One thing to slap your name on a piece of junk but to not take care of customers is another issue all together. They ignore your complaints!<br /> Please understand this folks, these not only rust outside and look bad they are rusting inside & onto your cars studs ruining its threads...Remove them asap!<br /> AVOID THESE RUSTY HONG SHENG/ GORILLA WHEEL LOCKS & NUTS.<br /><br />Google this part number it should take you to see them 46440 with k670 .......Sold on Alibaba!"
positive,As advertised and arrived on time!
positive,I love the suction power on this small car vacuum. It fits under my seat. It also comes with some extra accessories to get into tighter spots.<br />Very happy with it.
positive,"This product dresses my tires nicely without leaving that shiny wet look, and seems to last a fair amount of time between applications."
positive,"Great price, seems to be a well made product. Fit perfectly"
positive,Can't beat this deal.  Just put them on so far so good
positive,"Our outdoor Ghost Controls solar gate runs off a battery box.  The battery box came with (2) 12V 7Ah batteries and those died.  I had one 12V 6Ah battery on hand, but needed another one.  A 10w solar panel charges these and they run our gate no problem.  No complaints or regrets."
positive,"In such a time, my cars stay in garage much longer then I can remember and it has saved my day twice, well spent money!"
positive,Belt is very thick and easy to install.  All around very satisfied!
positive,"Works great, exactly as expected. Length between front and back led strips is perfect for the average sedan. The app however is badly designed and does not work. Not a major issue however as the remote works well. Adhesion is great."
positive,"My review is relevant to a 2017 Dodge Ram Crew with the 6'4&#34; bed.<br /><br />Package arrived undamaged and a day early (on Labor Day)<br /><br />Very easy to assemble and install - I have a spray in bedliner and the dimples to drill the holes were already there so no need for a punch.<br /><br />The only reason I am not giving 5 stars is that the curved rails were not thought out enough.  If they would have designed it with less of a radius, it would have cleared 4X8 sheets of ply and drywall (this is why I bought it).  So if you are buying in hopes of carrying 4x8 materials in your 6' bed, it won't work.  I skimmed so many reviews looking for the answer, couldn't find it, so I went ahead and purchased."
positive,I love this organizer!  The change saver is especially helpful.  The Niro logo is nicely done.  Helps keep things from falling into a heap in the console.  Definitely recommend.
negative,"Fogged up real bad this winter, might be better in warm climates. Love the blue tint on lens . Make sure you put on a anti fog treatment before you ride out of camp...."
positive,It lit of my life! Lol. No it is a great product for my car. Good deal
positive,"my family makes fun of me for buying/using this, but it helps me tremendously while driving, specially when the sun is facing me. I only use it for daytime driving, I don't use the yellow tint shade at all."
positive,It even works as a tablet holder of you have a tablet case with handle.
negative,Says it fits 2001 explorer but it doesn't.
positive,Generic jack stands. They perform exactly as jack stands should. The car hasn't crushed me so they get 5 stars. I think jack stands are probably a 5 star or 1 star type product.
positive,
positive,Good car seat cover. Fast delivery.
positive,"I like this charcoal freshener. I think it is working. What I mean by that is when I step into my car I really don't smell anything. I think that is the idea here. It is fairly large which makes me feel like I got a good value for what I paid. I wish the rope that is attached was a different color, but otherwise I am happy with this product and would buy it again if I had to."
negative,looked already worn i can see why because they you need to buy one size up !!!! nice  boots sent them back got a refund right away i suggest the boa boot because the laces make it a very bulky boot
positive,Fit perfectly quality made
positive,It's great
positive,Great to show Baylor pride.  Ours is on the back of the car.  GO BEARS!
positive,Fits in tight and looks good. I do not feel that this will come out unless I take it out.  Great price as well.
negative,Not worth it
positive,"Sturdy, dependable and easy to use"
positive,Bought this for my granddaugther's new car.  Went on easily and is really cute.
positive,Makes the typical oil change much faster...not more dropping the bolt in the dirty oil!
negative,I needed a battery maintainer/charger that will hook up to my existing plug in connection on my motorcycle.  The clamps won’t work since the battery terminals aren’t easily accessible.
positive,Nicely constructed and makes for an easy disconnect in my battery charging circuit.
positive,Great Traction and looks
positive,What's not to like. . My bumper caps have become warped and worn fitting loosely.  I don't want the stinky slinky falling out of the bumper and getting dragged down the street.  I am replacing mine with these ones.<br /><br />They should do the job just fine.
positive,"These are great wiper blades, and to make them even better they come with refill blades so it's like 2 for 1. ---- I plan to buy more and just keep them on the shelf for all my vehicles."
positive,"Good quality cover for the money, Keeps the car clean and  free of leaves, etc  Easy to use, relatively light weight doesn't seem to scratch the paint Has a draw string to keep it tight although it fits my car ( 1929 Chevrolet 3 window coupe)  tight enough that I don't have to use it, Just the elastic bands slide under my bumpers sufficiently to keep it on, even in high Florida thunderstorm winds of 30-35 plus MPH.<br /> I bought a size larger than what was recommended, keep that in mind as others have suggested the same<br /> Good for 5 stars from me"
negative,Tire is terrible. Have patched twice and got another hole in it after maybe a mile. Denied my refund request too.
positive,Great for those smaller items sorted.
positive,"What a great oil can. It has a wide base that's hard to tip over and believe me, I've tried. proportioned"
negative,Really disappointed. No release agent in the kit so the glue stuck to the vehicle. Directions said use rubbing alcohol and the scraper. Scraper is too cheap and soft. Uneven edges. I have multiple glue spots all over my car and I spent 20 minutes trying to scrape it off. It looks so much worse now! I had to scrape so hard and for so long that the dents pushed back in. (They had not pulled out that much.) Dint bridge didn’t do the job. Instructions are a joke. Lots of pieces in the kit but no instructions on what to do with the majority of the parts. Overpriced for cheap stuff and made the damage worse.
negative,"There are advantages and disadvantages to this mirror attachment. It is easy to install, and should fit almost any rearview mirror. It also gives you a much larger range of view than the standard mirror.<br /><br />However, everything looks farther away than in my original mirror. My eye sight isn't what it used to be, so if anything I liked the view to closer not farther.<br /><br />Another downside for me, my original mirror has automatic tinting to dim others headlights. This does have a bit of a blue tint but it doesn't really do much for headlights."
positive,This was the best leather conditioner I have ever used. It renewed my leather couches and made them look like new. I will never use any other conditioner in the future.
positive,"God mirrors, I just didn't see that they are 10mm and I needed 8mm. Someone will need them."
positive,Got this for a friend who loves his Beemer! He also loves his hat!
positive,Product works as designed and is pretty sturdy. This is far superior to the cheaper trailer locks I've tried before that have a U shape to them. This is a nice lock
negative,I've only used it once...couldn't get it to work....used a 75 cent pick instead.<br />They got me.
positive,"Awesome part, perfect fit, pre lubricated and working perfectly.  Very pleased."
positive,"was actually the correct part for my old ass lawnmower, deere 210 1983."
positive,Works as advertised.  Made of a durable plastic with a nice coating.
positive,"As you can see, this car seat cover fits my Grand Cherokee Summit but does leave some gaps. That's okay because I wanted primarily for a little protection when I take my dogs to the dog park or to the lake.<br />No doubt about it, it's durable. Heavy duty construction, and paw prints wipe up in a jiffy. Looks a lot better than my previous canvas cover.<br />Takes no time at all to put it on. Very straightforward."
positive,What can I say.  They are hard plastic blocks that fit the door jam of the Miata.  They are half the price as other options online.  That being sad ...they are grossly over priced.  Even at half the price of other options.  ITS CRAZY THEY CHARGE SO MUCH FOR SMALL PLASTIC BLOCKS!  WHAT AM I SUPPOSED TO DO ? CAVE MY OWN OUT OF WOOD!  MAYBE BUY 5K 3D PRINTER TO POOP SOME OUT?<br /><br />pros;<br />1000+ horse power<br />My door doesn't rattle over bumps anymore<br />easy to install<br /><br />Cons;<br />Grossly over priced<br />I doubt they truly stiffen the ride like others have said (seller does not make this claim)
negative,Don't waste your time with this product very cheap plastic very brittle the clips break every time you try to install this peace.
positive,"working well,so I ordered more."
positive,"Good thing this wonderful tool is sold as a 2 pack - after extensive domestic and international travel with no issues at all, TSA agents confiscated one at Dulles.  Glad I had a backup at home.  Well designed and small enough to keep handy at all times."
positive,Cool.
positive,"My son in law, who is a mechanic, tested this and said that for everyday people, it is very fast, accurate and worthwhile to own. He also advised that the only things better get sensors and things like that. Those cost a whole lot more. For the at home mechanic who wants to check their vehicle to see what is wrong with it, he said it is worthwhile to have."
positive,Excellent cover.  Material is very good quality. It's thick and comfortable. Also it does move when you get in and out of the car. Really easy to install too
positive,I like them. They are candid error free and the light pattern is very accurate. The light is white bluish but strong. I have a pair of sv.4 which are twice the price and the outcome is the same.
positive,Versatile and easy to install.
positive,So far so good.  Used it only once but worked well.  If it continues to perform as it has it will be a great time and back saver.
positive,Perfect fit.
positive,Would highly recommend. Perfect fit.
positive,"I've been using mine a little under a month - they are a new product released November 14th. Ideal for me. Once I got them seated in my snow ski helmet I was ready. First, I set up the volume on my phone AND using the volume control dial on the wire (volume is not set using the control button on the right ear piece). I put my phone in a pocket in my jacket and as long as the battery lasted on the phone I was good to go. To turn on music I press the right ear piece once, to pause you press it once again, double click the ear piece gets a new song, three times brings you back to the previous song, when you hold and release you can then talk to Siri or Google voice using the embedded microphone (as well as answer the phone).<br /><br />The manufacturer has a very brief video showing the audio system in action: go to the Outdoor technology website - select videos and the first video is less than 2 minutes titled ""Wired Chips"".<br /><br />For the price it will make an all around impressive to them, at a low cost to you, gift."
negative,"It's interesting since I've used Hawk HP Plus pads on street with at least 4 different cars including the integra type r, rx7 FD3S, E30 m3, and now the E46 M3.  Only the type R and E46 M3 have i used on the track.  the type r had no issues on track.  The e46 m3 at 3600lb with me in it had issues in 75F weather.  the pads began to melt and left some glaze on my rotors.<br /><br />another issue is how noisy these pads are, they used to be tolerable on other cars but after bedding again and again they are VERY noisy.  I'd recommend you either go with the street pads, or jump straight to DTC-60."
positive,"Although I ended up returning this because I decided I didnt need it, THISWAS A GREAT BUY. It was just as pictured  and a great price."
positive,Fit perfectly but was not really Porsche Carmine red as advertised.
positive,Works well and it's water proof.  I deducted 1 star because of it's size.  I wish it was bit bigger.
positive,replaced the old with the new and worked perfect. There is however light bleed through and its bugging the heck out of me.
negative,Did not work to large not as said to be
positive,"Questions to my husband:  Have you used your grease gun yet?<br />YUP<br />Has it worked good?<br />YUP<br />Any complaints?<br />NOPE, works like it's supposed to.<br /><br />For reference, he drives a big ole Kenworth as we are owner operators.  He takes good care of his truck.  He uses the grease gun about every 2 weeks.  It holds its charge well.  Compared to paying someone to do the work for us, this pays for itself.  Plus we write it off as a business expense.  Win win.<br /><br />Overall ... totally no regrets, hubs is as happy as hubs can get."
positive,"I enjoy decorating my car, and these flowers does the touch. Very cute."
positive,Blocks out a great deal of sun. It is awesome.
positive,I finally tried this out a couple weeks ago and was happy to have a no spill event. I used it on gas but will try diesel soon.
positive,Fits great and sounds great (well until I changed the exhaust now I can’t really hear it) lol
positive,Perfect for all types of molding removal
positive,"My Jeep loves it, runs much cooler now!  Nothing like putting OEM antifreeze back in after flushing the system!"
positive,Exactly what I needed for my 2011 Ram 1500.
positive,"Along with the other products from this seller, made my mustang interior look custom and classy, but not overbearing or trashy."
negative,"It's a sticker that fits in the plastic replacement center for the EZGO.  As far as stickers go, well it's fine.  Like others have said, it is pricey for what it is.  Typical stickers like this cost $2 or less.  I did an exhaustive search and this was the &#34;least overpriced&#34; of all the options out there.  In reality, the sticker should be part of the centerpiece.  So quality is a 5 and price is a 1, hence I gave it a 3."
positive,Awesome!
positive,Looks good and easy to install. Ac ouple of places do not want to stay put. Otherwise<br />an OK door guard.
positive,The helmet fits perfectly and is very comfortable.  I use it when riding around on my scooter so I don't want a big cumbersome helmet and this one is just what I was looking for.  Great quality.  Highly recommend.
positive,Good
positive,These fit my 2016 f150 crew cab sport perfect. The bend for packing went away in no time and your left with a quality product. Great thickness and texture. If your wanting a quality floor may spend the extra 30$ over comparable brands and get the USA made product and support American workers not the cheap Chinese made ones.
positive,Installed on my Motorcycles.<br />Get a good crimping tool and install under the seat inline with the connector for the brake/tail light.
positive,"These blind spot mirrors are super helpful with parallel parking, blindspots and seeing if you are in between the lines of the space you parked in. Love them"
positive,"These were the bump stops for my 2002, Dodge Durango 4x4 with the 4.7L engine.  They pushed into the mount easily and seem to be working just fine.  Make sure to keep your bump stops in good condition to prevent costly bottoming out of the body against the suspension."
positive,GREAT QUALITY PART. WOULD BUY AGAIN
positive,Quick service great product
positive,"As much as my OCD screamed at me for putting bright blue clay on my white car, it was oddly therapeutic to rub it all over sections of my car!<br />I was amazed at how much cleaner my car looked, & how grubby my little blob of clay had become!"
positive,Well made!!
positive,as advertised and works as it should
positive,It works.  I ordered a 2nd one for my husband’s bike.  I ride through some city roads to get to the bike path and no phones have bounced out yet🤓.  Neither of us have bothered with the lock feature 😎😎😎
positive,Worked perfect in my Lexus rx300- solved the problem and cleared the code.
positive,Very sharp
positive,"very bright , very durable"
positive,work as expected
positive,"Well made, nicely fitting product to protect the carpet for the 2012 Chrysler Town and Country we just purchased.  We take our dog and Grandkids to the beach in this vehicle and travel weekly. So nice to feel secure with this in place. Note: when you first open the package, turn the item upside down on the floor to let it reshape correctly before installing.  It stumped me, but my husband easily slipped in in the van.  You do have to move it part way to close up the stow and go 2nd row.  Easy to clear. Nice looking.  Best price on these on Amazon!!"
positive,"Works good, be careful putting it on and you will be fine."
negative,Please don't waste your money on this..... Unless you want JUNK.
negative,I don't know didn't work for me NOT VERY GOOD IT S--K
negative,Ok!
positive,Dad put it in his old malibu and it works well for him.
positive,I don’t know how to add a photo
positive,"Edit: Figured out my issue. Plugged this into my air compressor set at 150psi, and the gauge broke. Gauge is rated at 100psi, I subjected it to 50% more pressure than it's designed for. If you plug your toaster designed for 120v into a 180v outlet(if such a thing existed), you could reasonably expect it to fail too. I'm replacing the gauge with one built to handle the pressure, and will try again. Edited from 1 star to 4 stars. Didn't go to 5 stars because most home compressors are over 100psi, and Jaco really should be including a gauge that can handle those pressures.<br /><br />Original review:<br /><br />Overall the tool seems well built, but the gauge completely failed on the third vehicle it was used on. I'm a month outside the return window, so stuck with it. I'll be replacing the gauge, and hoping the rest of the tool holds up better.<br /><br />Even though the rest of the tool is decent, one star due to the failed gauge. The gauge is an integral and vital piece of this puzzle. Without the gauge, I have half a dozen other tire chucks that work just as well, and cost a fraction of what this does."
positive,"just what I needed,"
positive,Easy to attach.  Pretty.
negative,"The product is nice, it's made really well, I really liked it. Then I went to take a CD out and it was skipping like crazy. It was brand new so I knew there weren't any scratches on it. So I pulled all the cds out to look at them. This holder has left glue or some type of residue on all of the cds. So it has ruined well over $100 of cds."
positive,"I used this set to replace the rear wipers on two cars (Acura MDX and Nissan Rogue).  Both used regular, metal frame wiper blades.  Installation was a bit tricky.  I found two ways of doing this:<br /><br />1) As per photo, slide in the refill together with the metal rods from the old wiper insert.  It's easiest to do if you temporarily tie them together (see white twist-tie) as you go.<br /><br />2) Pop in the rubber insert into the wiper brackets to the ""second notch"" (don't bother trying to slide it).  Then, slide the metal rods in to the first notch.<br /><br />I'll update if any issues are observed."
positive,absolutely love it thank you
negative,"A I stated above they do not fit a Silverado that I can figure out and I have been installing blades for a long time being a mechanic.<br />Now if it had instructions, I have had a time or two where something did not fit and after looking at the instructions will show me."
positive,"These are the best when replacing your wipers. I live in southern California, and the sun takes its toll on the wiper blades, so that when it DOES rain, you get the streaky and sometimes rubber flakes from the degraded blades. These are the best and changing them is a snap!  Amazon offers them on subscribe and save, so you can check every 6 months to see if you need replacements!<br /><br />NOTICE: I did NOT receive this product for free to make an &#34;unbiased&#34; review. I paid for it myself.  I have NOT received any compensation to review the product. The above review is my opinion after having purchased and/or used the product.<br /><br />SO THERE!"
positive,Well it was just a stocking stuffers for my wife. To my surprise she really liked it. In fact bher friends are jealous and started looking for one for their fobs.
positive,A must have for hot climates! A good 10* cooler when using these shades. Careful at night could not see anything.
positive,"I had never bled my own motorcycle brakes, but this worked GREAT!!"
positive,Better quality than I expected
negative,application  4/10<br />package  10/10<br />this isnt for batteries that need repair<br />only works on smaller batteries<br />and the smart part well it isnt smart at all its programmed for specific scenarios<br />in my case it wasnt very useful
